experiment,game,method,seed,success,restarts,final_reward_mean
restart,stag_hunt,standard_pg,90,1,0,3.8505313164804504
restart,stag_hunt,standard_pg,91,1,4,3.8021857841445237
restart,stag_hunt,standard_pg,92,1,1,3.8107954807850835
restart,stag_hunt,standard_pg,93,1,1,3.8942716882365653
restart,stag_hunt,standard_pg,94,1,3,3.8480505133674914
restart,stag_hunt,standard_pg,95,1,1,3.890969381042483
restart,stag_hunt,standard_pg,96,1,0,3.881630140781252
restart,stag_hunt,standard_pg,97,1,5,3.847141118978821
restart,stag_hunt,standard_pg,98,1,1,3.8298281042688673
restart,stag_hunt,standard_pg,99,1,2,3.849328113468138
restart,stag_hunt,meta_pg,0,1,2,3.711657448363674
restart,stag_hunt,meta_pg,1,1,5,3.8424225969792447
restart,stag_hunt,meta_pg,2,1,2,3.8580666306908666
restart,stag_hunt,meta_pg,3,1,1,3.839281117784692
restart,stag_hunt,meta_pg,4,1,1,3.8414346547116662
restart,stag_hunt,meta_pg,5,1,1,3.879670068626753
restart,stag_hunt,meta_pg,6,1,1,3.842892819704316
restart,stag_hunt,meta_pg,7,1,0,3.8410344451285385
restart,stag_hunt,meta_pg,8,1,1,3.860436606093918
restart,stag_hunt,meta_pg,9,1,0,3.8631553988864438
restart,stag_hunt,meta_pg,10,1,1,3.8893854752497257
restart,stag_hunt,meta_pg,11,1,2,3.8628119904516574
restart,stag_hunt,meta_pg,12,1,4,3.844183419463005
restart,stag_hunt,meta_pg,13,1,4,3.78729544352188
restart,stag_hunt,meta_pg,14,1,3,3.849715361349173
restart,stag_hunt,meta_pg,15,1,4,3.8182953364924686
restart,stag_hunt,meta_pg,16,1,1,3.9024069190742066
restart,stag_hunt,meta_pg,17,1,2,3.853015183441065
restart,stag_hunt,meta_pg,18,1,0,3.885948065986783
restart,stag_hunt,meta_pg,19,1,2,3.8755744724727794
restart,stag_hunt,meta_pg,20,1,1,3.9179406553749105
restart,stag_hunt,meta_pg,21,1,2,3.77544498300332
restart,stag_hunt,meta_pg,22,1,0,3.852927623877937
restart,stag_hunt,meta_pg,23,1,0,3.8553162828513354
restart,stag_hunt,meta_pg,24,1,2,3.775101583360452
restart,stag_hunt,meta_pg,25,1,0,3.8798954081967905
restart,stag_hunt,meta_pg,26,1,3,3.8835603838147934
restart,stag_hunt,meta_pg,27,1,0,3.7947989182195827
restart,stag_hunt,meta_pg,28,1,3,3.859954934921465
restart,stag_hunt,meta_pg,29,1,0,3.7978310498202177
restart,stag_hunt,meta_pg,30,1,6,3.8636455303759
restart,stag_hunt,meta_pg,31,1,0,3.8965252543052147
restart,stag_hunt,meta_pg,32,1,0,3.858711810920618
restart,stag_hunt,meta_pg,33,1,2,3.851243195335065
restart,stag_hunt,meta_pg,34,1,0,3.898136343983972
restart,stag_hunt,meta_pg,35,1,2,3.8849735285002276
restart,stag_hunt,meta_pg,36,1,0,3.8448156363653663
restart,stag_hunt,meta_pg,37,1,1,3.853845492500181
restart,stag_hunt,meta_pg,38,1,1,3.865580255383577
restart,stag_hunt,meta_pg,39,1,1,3.885806453916157
restart,stag_hunt,meta_pg,40,1,2,3.843272167937153
restart,stag_hunt,meta_pg,41,1,4,3.683358696676555
restart,stag_hunt,meta_pg,42,1,0,3.8879174984055265
restart,stag_hunt,meta_pg,43,1,1,3.9084160400368333
restart,stag_hunt,meta_pg,44,1,5,3.8541490298446135
restart,stag_hunt,meta_pg,45,1,0,3.7822503368167757
restart,stag_hunt,meta_pg,46,1,1,3.845686836188536
restart,stag_hunt,meta_pg,47,1,4,3.875971377209079
restart,stag_hunt,meta_pg,48,1,0,3.860500110597064
restart,stag_hunt,meta_pg,49,1,7,3.4541742765672208
restart,stag_hunt,meta_pg,50,1,5,3.8690796948417514
restart,stag_hunt,meta_pg,51,1,3,3.83351534760549
restart,stag_hunt,meta_pg,52,1,1,3.8883702812143666
restart,stag_hunt,meta_pg,53,1,0,3.795346861865962
restart,stag_hunt,meta_pg,54,1,0,3.841923356236376
restart,stag_hunt,meta_pg,55,1,0,3.9004174478323077
restart,stag_hunt,meta_pg,56,1,0,3.7342986725944174
restart,stag_hunt,meta_pg,57,1,5,3.880948828067355
restart,stag_hunt,meta_pg,58,1,1,3.812736064331868
restart,stag_hunt,meta_pg,59,1,1,3.8931647613522236
restart,stag_hunt,meta_pg,60,1,4,3.822645317023591
restart,stag_hunt,meta_pg,61,1,0,3.871385229647366
restart,stag_hunt,meta_pg,62,1,1,3.730126243044218
restart,stag_hunt,meta_pg,63,1,3,3.832258261138924
restart,stag_hunt,meta_pg,64,1,0,3.8421224739243818
restart,stag_hunt,meta_pg,65,1,2,3.865315465936705
restart,stag_hunt,meta_pg,66,1,0,3.8816855059248763
restart,stag_hunt,meta_pg,67,1,4,3.8145414476541157
restart,stag_hunt,meta_pg,68,1,8,3.8547589986800954
restart,stag_hunt,meta_pg,69,1,0,3.87483069776192
restart,stag_hunt,meta_pg,70,1,1,3.884908678480058
restart,stag_hunt,meta_pg,71,1,0,3.7404221057887765
restart,stag_hunt,meta_pg,72,1,0,3.8761231254665365
restart,stag_hunt,meta_pg,73,1,0,3.7973090194959163
restart,stag_hunt,meta_pg,74,1,7,3.8907667064152083
restart,stag_hunt,meta_pg,75,1,0,3.8842300525000057
restart,stag_hunt,meta_pg,76,1,0,3.4206611444952215
restart,stag_hunt,meta_pg,77,1,1,3.8558628357359224
restart,stag_hunt,meta_pg,78,1,2,3.8350458249559924
restart,stag_hunt,meta_pg,79,1,1,3.844909520284797
restart,stag_hunt,meta_pg,80,1,2,3.868180861162087
restart,stag_hunt,meta_pg,81,1,3,3.7595243532254203
restart,stag_hunt,meta_pg,82,1,1,3.8695882561575896
restart,stag_hunt,meta_pg,83,1,0,3.8610396002706153
restart,stag_hunt,meta_pg,84,1,3,3.813456519852081
restart,stag_hunt,meta_pg,85,1,2,3.8699197084059325
restart,stag_hunt,meta_pg,86,1,6,3.8635856419815138
restart,stag_hunt,meta_pg,87,1,2,3.74500704520963
restart,stag_hunt,meta_pg,88,1,2,3.875224658923041
restart,stag_hunt,meta_pg,89,1,1,3.597847343626814
restart,stag_hunt,meta_pg,90,1,0,3.8478930057077
restart,stag_hunt,meta_pg,91,1,4,3.7993482172731374
restart,stag_hunt,meta_pg,92,1,1,3.8093483260263
restart,stag_hunt,meta_pg,93,1,1,3.8937938225283713
restart,stag_hunt,meta_pg,94,1,3,3.8467908154570587
restart,stag_hunt,meta_pg,95,1,1,3.8887475462905017
restart,stag_hunt,meta_pg,96,1,0,3.880452798479273
restart,stag_hunt,meta_pg,97,1,5,3.8454519512923304
restart,stag_hunt,meta_pg,98,1,1,3.826489453478377
restart,stag_hunt,meta_pg,99,1,2,3.8477433340396177
restart,stag_hunt,lola_style,0,1,1,3.7226926993830656
restart,stag_hunt,lola_style,1,1,1,3.7965787579362322
restart,stag_hunt,lola_style,2,1,2,3.871167664565509
restart,stag_hunt,lola_style,3,1,0,3.6146253849273515
restart,stag_hunt,lola_style,4,1,1,3.858803263839537
restart,stag_hunt,lola_style,5,1,1,3.8840992888059915
restart,stag_hunt,lola_style,6,1,1,3.860616477518827
restart,stag_hunt,lola_style,7,1,0,3.855674929469884
restart,stag_hunt,lola_style,8,1,1,3.87266348673312
restart,stag_hunt,lola_style,9,1,0,3.874602475455754
restart,stag_hunt,lola_style,10,1,1,3.8920432761881028
restart,stag_hunt,lola_style,11,1,2,3.8722708002867723
restart,stag_hunt,lola_style,12,1,2,3.793288480957079
restart,stag_hunt,lola_style,13,1,0,3.72931634812449
restart,stag_hunt,lola_style,14,1,3,3.8611887548995
restart,stag_hunt,lola_style,15,1,2,3.798043227358601
restart,stag_hunt,lola_style,16,1,1,3.903963883186158
restart,stag_hunt,lola_style,17,1,0,3.796170975529636
restart,stag_hunt,lola_style,18,1,0,3.889065057501523
restart,stag_hunt,lola_style,19,1,1,3.3085965503993995
restart,stag_hunt,lola_style,20,1,1,3.918346800345607
restart,stag_hunt,lola_style,21,1,1,3.7897362447833474
restart,stag_hunt,lola_style,22,1,0,3.8641561112249025
restart,stag_hunt,lola_style,23,1,0,3.867703124608644
restart,stag_hunt,lola_style,24,1,2,3.8454205016409144
restart,stag_hunt,lola_style,25,1,0,3.885492745350373
restart,stag_hunt,lola_style,26,1,3,3.8874915710253406
restart,stag_hunt,lola_style,27,1,0,3.846330552896435
restart,stag_hunt,lola_style,28,1,0,3.7575425273268475
restart,stag_hunt,lola_style,29,1,0,3.8404945449874868
restart,stag_hunt,lola_style,30,1,6,3.875088697979182
