experiment,batch_size,bias_norm_to_reference,variance_trace
estimator_sanity,48,0.04490044929352504,0.12728093773258642
estimator_sanity,96,0.025026163654875838,0.04683587778771987
estimator_sanity,192,0.011957592266670996,0.02307481891033975
estimator_sanity,384,0.003546378217476419,0.014901961598090313
estimator_sanity,768,0.012118619414387006,0.006214241209541088
