experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.185,0.5900000000000001,0,0.012224694255155731
basin,stag_hunt,standard_pg,0.185,0.635,0,0.012051784551489407
basin,stag_hunt,standard_pg,0.185,0.68,0,0.012397818602378005
basin,stag_hunt,standard_pg,0.185,0.725,0,0.013101067185046824
basin,stag_hunt,standard_pg,0.185,0.77,0,0.013069423729148594
basin,stag_hunt,standard_pg,0.185,0.8150000000000001,0,0.013648136466858704
basin,stag_hunt,standard_pg,0.185,0.86,0,0.014397696590620249
basin,stag_hunt,standard_pg,0.185,0.905,0,0.018127733477264124
basin,stag_hunt,standard_pg,0.185,0.95,1,0.9644723126673336
basin,stag_hunt,standard_pg,0.22999999999999998,0.05,0,0.009394114199653667
basin,stag_hunt,standard_pg,0.22999999999999998,0.095,0,0.010584641225687537
basin,stag_hunt,standard_pg,0.22999999999999998,0.14,0,0.011059175250532042
basin,stag_hunt,standard_pg,0.22999999999999998,0.185,0,0.011715099501664949
basin,stag_hunt,standard_pg,0.22999999999999998,0.22999999999999998,0,0.011717110575727753
basin,stag_hunt,standard_pg,0.22999999999999998,0.27499999999999997,0,0.011750650836276974
basin,stag_hunt,standard_pg,0.22999999999999998,0.32,0,0.011754622247813469
basin,stag_hunt,standard_pg,0.22999999999999998,0.365,0,0.01214445740422984
basin,stag_hunt,standard_pg,0.22999999999999998,0.41,0,0.011970562677579982
basin,stag_hunt,standard_pg,0.22999999999999998,0.45499999999999996,0,0.012120284312430334
basin,stag_hunt,standard_pg,0.22999999999999998,0.49999999999999994,0,0.01223123108035166
basin,stag_hunt,standard_pg,0.22999999999999998,0.545,0,0.012476155659794633
basin,stag_hunt,standard_pg,0.22999999999999998,0.5900000000000001,0,0.012963761059326666
basin,stag_hunt,standard_pg,0.22999999999999998,0.635,0,0.012356373727303782
basin,stag_hunt,standard_pg,0.22999999999999998,0.68,0,0.012922953732081494
basin,stag_hunt,standard_pg,0.22999999999999998,0.725,0,0.013405858150348414
basin,stag_hunt,standard_pg,0.22999999999999998,0.77,0,0.01397280660990689
basin,stag_hunt,standard_pg,0.22999999999999998,0.8150000000000001,0,0.014707814575080459
basin,stag_hunt,standard_pg,0.22999999999999998,0.86,0,0.017723817982857815
basin,stag_hunt,standard_pg,0.22999999999999998,0.905,0,0.029355503634966244
basin,stag_hunt,standard_pg,0.22999999999999998,0.95,1,0.9591109633967124
basin,stag_hunt,standard_pg,0.27499999999999997,0.05,0,0.009881162367749753
basin,stag_hunt,standard_pg,0.27499999999999997,0.095,0,0.010681269885677877
basin,stag_hunt,standard_pg,0.27499999999999997,0.14,0,0.010931945654927448
basin,stag_hunt,standard_pg,0.27499999999999997,0.185,0,0.011480651917016126
basin,stag_hunt,standard_pg,0.27499999999999997,0.22999999999999998,0,0.012109902891801026
basin,stag_hunt,standard_pg,0.27499999999999997,0.27499999999999997,0,0.011861672951816903
basin,stag_hunt,standard_pg,0.27499999999999997,0.32,0,0.012082448969308799
basin,stag_hunt,standard_pg,0.27499999999999997,0.365,0,0.011996961070501907
basin,stag_hunt,standard_pg,0.27499999999999997,0.41,0,0.01187760021936121
basin,stag_hunt,standard_pg,0.27499999999999997,0.45499999999999996,0,0.012609028768274912
basin,stag_hunt,standard_pg,0.27499999999999997,0.49999999999999994,0,0.012359069790022634
basin,stag_hunt,standard_pg,0.27499999999999997,0.545,0,0.012334475534996416
basin,stag_hunt,standard_pg,0.27499999999999997,0.5900000000000001,0,0.013231870671642833
basin,stag_hunt,standard_pg,0.27499999999999997,0.635,0,0.012851187249489525
basin,stag_hunt,standard_pg,0.27499999999999997,0.68,0,0.013212608659375473
basin,stag_hunt,standard_pg,0.27499999999999997,0.725,0,0.013782752635830706
basin,stag_hunt,standard_pg,0.27499999999999997,0.77,0,0.01455850390387188
basin,stag_hunt,standard_pg,0.27499999999999997,0.8150000000000001,0,0.015050554280232472
basin,stag_hunt,standard_pg,0.27499999999999997,0.86,0,0.017614676410988364
basin,stag_hunt,standard_pg,0.27499999999999997,0.905,0,0.039475490513425936
basin,stag_hunt,standard_pg,0.27499999999999997,0.95,1,0.9679522642640326
basin,stag_hunt,standard_pg,0.32,0.05,0,0.00977135985396137
basin,stag_hunt,standard_pg,0.32,0.095,0,0.01064842014095599
basin,stag_hunt,standard_pg,0.32,0.14,0,0.011599211597403184
basin,stag_hunt,standard_pg,0.32,0.185,0,0.011859167731352089
basin,stag_hunt,standard_pg,0.32,0.22999999999999998,0,0.01170977902848728
basin,stag_hunt,standard_pg,0.32,0.27499999999999997,0,0.012121828821180111
basin,stag_hunt,standard_pg,0.32,0.32,0,0.012371803934747272
basin,stag_hunt,standard_pg,0.32,0.365,0,0.01244568086422051
basin,stag_hunt,standard_pg,0.32,0.41,0,0.012374562122107021
basin,stag_hunt,standard_pg,0.32,0.45499999999999996,0,0.012767685390396718
basin,stag_hunt,standard_pg,0.32,0.49999999999999994,0,0.012868763241097472
basin,stag_hunt,standard_pg,0.32,0.545,0,0.013054171966789548
basin,stag_hunt,standard_pg,0.32,0.5900000000000001,0,0.013109924612906899
basin,stag_hunt,standard_pg,0.32,0.635,0,0.01286319440724756
basin,stag_hunt,standard_pg,0.32,0.68,0,0.013802214718990773
basin,stag_hunt,standard_pg,0.32,0.725,0,0.014484992729745393
basin,stag_hunt,standard_pg,0.32,0.77,0,0.014734147070923239
basin,stag_hunt,standard_pg,0.32,0.8150000000000001,0,0.014659814472517532
basin,stag_hunt,standard_pg,0.32,0.86,0,0.01699639151324174
basin,stag_hunt,standard_pg,0.32,0.905,1,0.9496866894257522
basin,stag_hunt,standard_pg,0.32,0.95,1,0.9673953381648699
