experiment,game,method,seed,budget,best_welfare,welfare_gap,cumulative_welfare_gap,payoff_dominant_found,first_hit_budget
restart_selection,stag_hunt,standard_pg,0,1,3.977662578466733,4.022337421533267,4.022337421533267,0,13
restart_selection,stag_hunt,standard_pg,0,2,3.977662578466733,4.022337421533267,8.044674843066534,0,13
restart_selection,stag_hunt,standard_pg,0,3,7.714844371340222,0.28515562865977806,8.329830471726313,1,3
restart_selection,stag_hunt,standard_pg,0,4,7.747434196291442,0.2525658037085581,8.58239627543487,1,3
restart_selection,stag_hunt,standard_pg,0,5,7.747434196291442,0.2525658037085581,8.834962079143429,1,3
restart_selection,stag_hunt,standard_pg,0,6,7.747434196291442,0.2525658037085581,9.087527882851987,1,3
restart_selection,stag_hunt,standard_pg,0,7,7.747434196291442,0.2525658037085581,9.340093686560545,1,3
restart_selection,stag_hunt,standard_pg,0,8,7.747434196291442,0.2525658037085581,9.592659490269103,1,3
restart_selection,stag_hunt,standard_pg,0,9,7.747434196291442,0.2525658037085581,9.845225293977661,1,3
restart_selection,stag_hunt,standard_pg,0,10,7.747434196291442,0.2525658037085581,10.097791097686219,1,3
restart_selection,stag_hunt,standard_pg,0,11,7.747434196291442,0.2525658037085581,10.350356901394777,1,3
restart_selection,stag_hunt,standard_pg,0,12,7.747434196291442,0.2525658037085581,10.602922705103335,1,3
restart_selection,stag_hunt,standard_pg,1,1,3.974730401417212,4.025269598582788,4.025269598582788,0,13
restart_selection,stag_hunt,standard_pg,1,2,7.521088551969624,0.47891144803037644,4.504181046613165,1,2
restart_selection,stag_hunt,standard_pg,1,3,7.727423249278807,0.2725767507211927,4.776757797334358,1,2
restart_selection,stag_hunt,standard_pg,1,4,7.727423249278807,0.2725767507211927,5.04933454805555,1,2
restart_selection,stag_hunt,standard_pg,1,5,7.727423249278807,0.2725767507211927,5.321911298776743,1,2
restart_selection,stag_hunt,standard_pg,1,6,7.727423249278807,0.2725767507211927,5.594488049497936,1,2
restart_selection,stag_hunt,standard_pg,1,7,7.727423249278807,0.2725767507211927,5.867064800219128,1,2
restart_selection,stag_hunt,standard_pg,1,8,7.727423249278807,0.2725767507211927,6.139641550940321,1,2
restart_selection,stag_hunt,standard_pg,1,9,7.727423249278807,0.2725767507211927,6.412218301661514,1,2
restart_selection,stag_hunt,standard_pg,1,10,7.727423249278807,0.2725767507211927,6.684795052382706,1,2
restart_selection,stag_hunt,standard_pg,1,11,7.727423249278807,0.2725767507211927,6.957371803103899,1,2
restart_selection,stag_hunt,standard_pg,1,12,7.727423249278807,0.2725767507211927,7.229948553825092,1,2
restart_selection,stag_hunt,standard_pg,2,1,3.9716828845019014,4.028317115498099,4.028317115498099,0,13
restart_selection,stag_hunt,standard_pg,2,2,7.638039891069292,0.36196010893070785,4.390277224428806,1,2
restart_selection,stag_hunt,standard_pg,2,3,7.638039891069292,0.36196010893070785,4.752237333359514,1,2
restart_selection,stag_hunt,standard_pg,2,4,7.638039891069292,0.36196010893070785,5.114197442290222,1,2
restart_selection,stag_hunt,standard_pg,2,5,7.638039891069292,0.36196010893070785,5.47615755122093,1,2
restart_selection,stag_hunt,standard_pg,2,6,7.744777917643882,0.2552220823561182,5.731379633577048,1,2
restart_selection,stag_hunt,standard_pg,2,7,7.744777917643882,0.2552220823561182,5.986601715933166,1,2
restart_selection,stag_hunt,standard_pg,2,8,7.744777917643882,0.2552220823561182,6.241823798289285,1,2
restart_selection,stag_hunt,standard_pg,2,9,7.744777917643882,0.2552220823561182,6.497045880645403,1,2
restart_selection,stag_hunt,standard_pg,2,10,7.744777917643882,0.2552220823561182,6.752267963001521,1,2
