label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
pg,standard_pg,constant,0,0.0013561031505630674,0.0017489643420870759,0.0002786580800922063,0,0.0
pg,standard_pg,constant,1,0.0013903852250228405,0.0018037486507123006,0.00029543528896657363,0,0.0
pg,standard_pg,constant,2,0.0013804480244164947,0.0017867707322627544,0.0002871151446952249,0,0.0
pg,standard_pg,constant,3,0.0013810141971059514,0.001791795021228831,0.00029263023235416585,0,0.0
pg,standard_pg,constant,4,0.9968096228148714,0.9960419271094648,0.000650085115163115,1,0.0
pg,standard_pg,constant,5,0.0013658090363016932,0.0017656119230354931,0.00028404128783330126,0,0.0
pg,standard_pg,constant,6,0.0013520645547513534,0.0017395962890216262,0.0002738296529571816,0,0.0
pg,standard_pg,constant,7,0.9971271026378855,0.996420415500856,0.000548977378959866,1,0.0
pg,standard_pg,constant,8,0.9970257406286968,0.9960393800532488,0.0006923952087263043,1,0.0
pg,standard_pg,constant,9,0.0013674489467525603,0.001767811077682496,0.00028380605923195593,0,0.0
pg,standard_pg,constant,10,0.9973407051808529,0.9964164834303693,0.0006854989274020502,1,0.0
pg,standard_pg,constant,11,0.0013505387281805737,0.001736876284560155,0.00027301487391217724,0,0.0
pg,standard_pg,constant,12,0.9969676867053309,0.9961281921505472,0.0006308915079400614,1,0.0
pg,standard_pg,constant,13,0.9967787736818124,0.9958165913177046,0.0006855849554231814,1,0.0
pg,standard_pg,constant,14,0.001355646251231857,0.0017461743582251612,0.00027591545348509014,0,0.0
pg,standard_pg,constant,15,0.9969741041551988,0.9960463916540673,0.0006130082094137465,1,0.0
pg,standard_pg,constant,16,0.0013824768351766354,0.0017943525891529139,0.0002934798711927847,0,0.0
pg,standard_pg,constant,17,0.0013319598053857132,0.0017039297096862374,0.0002634930990454127,0,0.0
pg,standard_pg,constant,18,0.0013566432117730629,0.001746140756828879,0.00027445144857787997,0,0.0
pg,standard_pg,constant,19,0.0013178878256788838,0.0016844668074262879,0.00025834400935628585,0,0.0
pg,standard_pg,constant,20,0.9971292633102252,0.9960119313930635,0.0008085493446830307,1,0.0
pg,standard_pg,constant,21,0.9969621266890333,0.995847822903457,0.0007969397812537603,1,0.0
pg,standard_pg,constant,22,0.0014054576246062074,0.0018292011568758035,0.0003044966960684432,0,0.0
