lambda,meta_mapg_basin_rate,mean_first_hit_step_given_success,n_success,n_total,pg_basin_rate
0.0,0.2975206611570248,25.38888888888889,36,121,0.2975206611570248
0.25,0.32231404958677684,25.205128205128204,39,121,0.2975206611570248
0.5,0.32231404958677684,24.05128205128205,39,121,0.2975206611570248
1.0,0.38016528925619836,24.934782608695652,46,121,0.2975206611570248
1.5,0.4380165289256198,26.735849056603772,53,121,0.2975206611570248
2.0,0.45454545454545453,23.6,55,121,0.2975206611570248
3.0,0.5289256198347108,22.65625,64,121,0.2975206611570248
5.0,0.628099173553719,20.026315789473685,76,121,0.2975206611570248
