experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,stag_hunt,standard_pg,0,0,1.993044907536355,0.007096462137834387,0.007106603599247842
ablation,stag_hunt,standard_pg,1,0,1.9929488101436794,0.007043611443233074,0.00720692932919304
ablation,stag_hunt,standard_pg,2,1,3.9000061493768086,0.9795571782623662,0.979755345823967
ablation,stag_hunt,standard_pg,3,1,3.9233369190890706,0.9841737510132919,0.9845237487043446
ablation,stag_hunt,standard_pg,4,1,3.9262807178741355,0.9851139693037957,0.9851233548857676
ablation,stag_hunt,standard_pg,5,1,3.939349620215885,0.9870911766042259,0.9877806213143032
ablation,stag_hunt,standard_pg,6,0,1.9918303064375058,0.008359799261739256,0.0083803848414694
ablation,stag_hunt,standard_pg,7,0,1.9928194027393453,0.007330585671697963,0.007342326105039737
ablation,stag_hunt,standard_pg,8,0,1.9930205336230569,0.007000456022804481,0.0071320112082671125
ablation,stag_hunt,standard_pg,9,0,1.9930704105268866,0.006899843581222328,0.007079865746123253
ablation,stag_hunt,standard_pg,10,1,3.9289247480045377,0.9853885504585417,0.985661641228696
ablation,stag_hunt,standard_pg,11,0,1.9933316340563068,0.006515288111242445,0.006807121138737568
ablation,stag_hunt,standard_pg,12,0,1.9923357077350146,0.007819517635867017,0.007849115478262211
ablation,stag_hunt,standard_pg,13,1,3.9345446049398163,0.9842345562036127,0.9868084864400797
ablation,stag_hunt,standard_pg,14,0,1.9934568510381938,0.006500335457936651,0.006676794294808656
ablation,stag_hunt,standard_pg,15,0,1.9933022473783713,0.006607082915241072,0.006837861911349672
ablation,stag_hunt,standard_pg,16,0,1.9925560569171488,0.007517136763718503,0.0076180150117460335
ablation,stag_hunt,standard_pg,17,0,1.992468292233494,0.007635539238773182,0.00771002455839042
ablation,stag_hunt,standard_pg,18,0,1.9919650901632622,0.008208287148919864,0.008238527078654814
ablation,stag_hunt,standard_pg,19,0,1.9929183787095375,0.007212340729675373,0.007238820765093057
ablation,stag_hunt,standard_pg,20,0,1.9925359149084845,0.007593918257977924,0.0076391487342808715
ablation,stag_hunt,standard_pg,21,1,3.9055333216869927,0.9806961078322307,0.9808875140476344
ablation,stag_hunt,standard_pg,22,1,3.8823455789037578,0.9759456589519412,0.9761271888863408
ablation,stag_hunt,standard_pg,23,0,1.9926846384333285,0.007410822679928155,0.007483347245210965
ablation,stag_hunt,standard_pg,24,0,1.9921321088118789,0.008032959194524314,0.008062920558888144
ablation,stag_hunt,standard_pg,25,0,1.9924840109816975,0.007685750304081001,0.007693561500965245
ablation,stag_hunt,standard_pg,26,0,1.9925548095930838,0.007606033642942215,0.007619353518791857
ablation,stag_hunt,standard_pg,27,0,1.9922734811274345,0.007865143232460554,0.007914426003065012
ablation,stag_hunt,standard_pg,28,0,1.9915839267452267,0.008626340692258332,0.008640022668310692
ablation,stag_hunt,standard_pg,29,1,3.922933455876497,0.9840563603782881,0.9844415408021072
ablation,stag_hunt,standard_pg,30,0,1.9931074891563094,0.006989491063360007,0.00704123999169806
ablation,stag_hunt,standard_pg,31,0,1.992466544381767,0.007675012276311068,0.007711870376799927
ablation,stag_hunt,standard_pg,32,0,1.9923223778861145,0.007826655770538524,0.007863103309587876
ablation,stag_hunt,standard_pg,33,1,3.900741715028054,0.9789935495571777,0.979906596274223
ablation,stag_hunt,standard_pg,34,1,3.9241500121580293,0.9837551271211386,0.984689886960409
ablation,stag_hunt,standard_pg,35,0,1.99242184407242,0.007718353895382311,0.007758745424856073
ablation,stag_hunt,standard_pg,36,0,1.99265538574325,0.007475344834368927,0.007513989909504736
ablation,stag_hunt,standard_pg,37,0,1.9912561081357847,0.008984273570338057,0.00898614421740547
ablation,stag_hunt,standard_pg,38,0,1.9926890618306543,0.007319864387062779,0.007478653292818485
ablation,stag_hunt,standard_pg,39,0,1.9917781240717358,0.008425619241141925,0.008435340555620214
ablation,stag_hunt,standard_pg,40,0,1.9794119928187022,0.022032910665235113,0.022046097966187197
ablation,stag_hunt,standard_pg,41,0,1.9933156112340957,0.0067753471455571515,0.006824086092440449
ablation,stag_hunt,standard_pg,42,0,1.9933659779173674,0.006665871717235119,0.006771550257438228
ablation,stag_hunt,standard_pg,43,0,1.99286366544602,0.007283309543681836,0.007296030240335542
ablation,stag_hunt,standard_pg,44,0,1.9930468514375592,0.007078773379211716,0.007104571368836573
ablation,stag_hunt,standard_pg,45,0,1.992788572533415,0.007350877873637338,0.007374579028911907
ablation,stag_hunt,standard_pg,46,0,1.9911921086478923,0.009046169691263269,0.009053805351210881
ablation,stag_hunt,standard_pg,47,0,1.9920253831249337,0.00816181932205175,0.008175113801856636
ablation,stag_hunt,standard_pg,48,0,1.9931286516280473,0.0068696394277658526,0.007019083991144346
ablation,stag_hunt,standard_pg,49,1,3.9321907526163273,0.9859483457723202,0.986326049973955
