game,method,seed,step,reward_p1,reward_p2,coop_p1,coop_p2,base_norm,own_norm,peer_norm,lr_step,lambda_step
stag_hunt,standard_pg,1000,0,1.947639989545611,2.0740496377464805,0.3661630441383026,0.32402649473801276,0.27001940894480975,0.00710177132761295,0.06678096370557147,0.5178959436034413,1.5
stag_hunt,standard_pg,1000,10,1.9080258385394204,1.9262493172549575,0.15681223843409997,0.15073774552892097,0.3041813567451621,0.024095615318159597,0.008628550557008278,0.4385259625377816,1.5
stag_hunt,standard_pg,1000,20,1.9354107256064221,1.942632049422874,0.0815393330108972,0.07913222507208002,0.20197262532608296,0.013202037732505499,0.0009200596058389108,0.3978628674337284,1.5
stag_hunt,standard_pg,1000,30,1.953591087490826,1.956889679818433,0.05382239383108591,0.05272286305521697,0.13783131579251656,0.006584562329583682,0.0003971739076307423,0.3713198031281318,1.5
stag_hunt,standard_pg,1000,40,1.9637841882252713,1.965499206482238,0.04049397783345346,0.03992230508113125,0.040228251155845274,0.0005798712846425758,0.0036206020621751167,0.3519570819976834,1.5
stag_hunt,standard_pg,1000,50,1.9704439521069015,1.9717216170145728,0.032199429239876114,0.03177354093731902,0.07626369914040616,0.002114714881331461,0.00023301823856937187,0.3368885179626231,1.5
stag_hunt,standard_pg,1000,60,1.9749547193896315,1.9758667557992566,0.026885188244017328,0.02658117610747561,0.07580388189304388,0.002113358691584676,2.2113011450038844e-05,0.32465267067212744,1.5
stag_hunt,standard_pg,1000,70,1.9783640756157446,1.978916421610178,0.023030268126341003,0.022846152794863184,0.06502976786223126,0.001568329321595497,1.3736789018231605e-06,0.31441330268612205,1.5
stag_hunt,standard_pg,1000,80,1.9808005527370707,1.9812288044045872,0.02028210182668677,0.020139351270847945,0.057105770551237785,0.0012163705466040255,2.177030141407091e-05,0.30564993458183315,1.5
stag_hunt,standard_pg,1000,90,1.9827097782387253,1.9830325240467446,0.01816688350906714,0.018059301573060696,0.05134016320611127,0.0009876573128134454,2.1931952748638275e-06,0.298018009334332,1.5
stag_hunt,standard_pg,1000,100,1.9841965856708619,1.9844477741231645,0.01653583250473691,0.016452103020636058,0.046542135268347856,0.0008143988518519568,1.8117321080444007e-05,0.29127838971160114,1.5
stag_hunt,standard_pg,1000,110,1.9854864594008348,1.985701499261413,0.015124895590028017,0.015053215636501893,0.04262146699095444,0.0006850111791323279,9.402851892867769e-06,0.28525877337361016,1.5
